content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
Jangan mbodoi rakyat otp ngak gratis capcay ngak pernah di lolosin kenapa pasang aplikasi klu di persulit suka knibal teman makan teman,playstore,jangan mbodoi rakyat otp ngak gratis capcay ngak pernah di lolosin kenapa pasang aplikasi klu di persulit suka knibal teman makan teman,"['jangan', 'mbodoi', 'rakyat', 'otp', 'tidak', 'gratis', 'capcay', 'tidak', 'pernah', 'di', 'lolosin', 'kenapa', 'pasang', 'aplikasi', 'kalau', 'di', 'persulit', 'suka', 'knibal', 'teman', 'makan', 'teman']",-61,negative,"['mbodoi', 'rakyat', 'otp', 'ngak', 'gratis', 'capcay', 'ngak', 'lolosin', 'pasang', 'aplikasi', 'klu', 'persulit', 'suka', 'knibal', 'teman', 'makan', 'teman']",mbodoi rakyat otp ngak gratis capcay ngak lolosin pasang aplikasi klu persulit suka knibal teman makan teman,Topik 4 - OTP/Verifikasi Email
Mau minta no epin udah du kirim ke email..tpi gk ada sampe sekarang saya cek di email..gk muncul muncul..emg dari dlu gk cek ini aplikasi berpungsi aoa gknya..,playstore,mau minta no epin udah du kirim ke emailtpi gk ada sampe sekarang saya cek di emailgk muncul munculemg dari dlu gk cek ini aplikasi berpungsi aoa gknya,"['mau', 'meminta', 'no', 'epin', 'sudah', 'du', 'kirim', 'ke', 'emailtpi', 'tidak', 'ada', 'sampai', 'sekarang', 'saya', 'cek', 'di', 'emailgk', 'muncul', 'munculemg', 'dari', 'dulu', 'tidak', 'cek', 'ini', 'aplikasi', 'berpungsi', 'aoa', 'gknya']",-76,negative,"['epin', 'udah', 'kirim', 'emailtpi', 'sampe', 'cek', 'emailgk', 'muncul', 'munculemg', 'dlu', 'cek', 'aplikasi', 'berpungsi', 'aoa', 'gknya']",epin udah kirim emailtpi sampe cek emailgk muncul munculemg dlu cek aplikasi berpungsi aoa gknya,Topik 4 - OTP/Verifikasi Email
"Kirim kode aktivasinya terlalu lama, disarankan lebih baik tidak perlu menggunakan kode aktivasi kalau begini. Bikin lama menunggu, kalau terlalu lama nanti aplikasi keburu minta refresh. Lalu minta kirim kode aktivasi lagi. Begitu terus",playstore,kirim kode aktivasinya terlalu lama disarankan lebih baik tidak perlu menggunakan kode aktivasi kalau begini bikin lama menunggu kalau terlalu lama nanti aplikasi keburu minta refresh lalu minta kirim kode aktivasi lagi begitu terus,"['kirim', 'kode', 'aktivasinya', 'terlalu', 'lama', 'disarankan', 'lebih', 'baik', 'tidak', 'perlu', 'menggunakan', 'kode', 'aktivasi', 'kalau', 'begini', 'bikin', 'lama', 'menunggu', 'kalau', 'terlalu', 'lama', 'nanti', 'aplikasi', 'keburu', 'meminta', 'refresh', 'lalu', 'meminta', 'kirim', 'kode', 'aktivasi', 'lagi', 'begitu', 'terus']",-79,negative,"['kirim', 'kode', 'aktivasinya', 'disarankan', 'kode', 'aktivasi', 'bikin', 'menunggu', 'aplikasi', 'keburu', 'refresh', 'kirim', 'kode', 'aktivasi']",kirim kode aktivasinya disarankan kode aktivasi bikin menunggu aplikasi keburu refresh kirim kode aktivasi,Topik 4 - OTP/Verifikasi Email
Kirim OTP via sms susah amat,playstore,kirim otp via sms susah amat,"['kirim', 'otp', 'via', 'sms', 'susah', 'amat']",-3,negative,"['kirim', 'otp', 'via', 'sms', 'susah']",kirim otp via sms susah,Topik 4 - OTP/Verifikasi Email
tolong diupdate jenis setoran pajaknya kode 920 dll msh blm ada🙏🙏,playstore,tolong diupdate jenis setoran pajaknya kode  dll msh blm ada,"['tolong', 'diupdate', 'jenis', 'setoran', 'pajaknya', 'kode', '920', 'dll', 'masih', 'belum', 'ada']",-26,negative,"['tolong', 'diupdate', 'jenis', 'setoran', 'pajaknya', 'kode', 'dll', 'msh', 'blm']",tolong diupdate jenis setoran pajaknya kode dll msh blm,Topik 4 - OTP/Verifikasi Email
"""Tombol"" Buat kode billing ndak aktif terus... 🤦 tolooong!!!!",playstore,tombol buat kode billing ndak aktif terus  tolooong,"['tombol', 'buat', 'kode', 'billing', 'indak', 'aktif', 'terus', 'tolooong']",-14,negative,"['tombol', 'kode', 'billing', 'ndak', 'aktif', 'tolooong']",tombol kode billing ndak aktif tolooong,Topik 4 - OTP/Verifikasi Email
"dua bulan ini ""tombol buat kode billing"" ndak aktif, mau buat kode billing ndak bisa, sebelumnya lancar",playstore,dua bulan ini tombol buat kode billing ndak aktif mau buat kode billing ndak bisa sebelumnya lancar,"['dua', 'bulan', 'ini', 'tombol', 'buat', 'kode', 'billing', 'indak', 'aktif', 'mau', 'buat', 'kode', 'billing', 'indak', 'bisa', 'sebelumnya', 'lancar']",-32,negative,"['tombol', 'kode', 'billing', 'ndak', 'aktif', 'kode', 'billing', 'ndak', 'lancar']",tombol kode billing ndak aktif kode billing ndak lancar,Topik 4 - OTP/Verifikasi Email
Ga bisa buat kode billing. Aplikasi ga jelas. Gmna mau byr pajak.,playstore,ga bisa buat kode billing aplikasi ga jelas gmna mau byr pajak,"['tidak', 'bisa', 'buat', 'kode', 'billing', 'aplikasi', 'tidak', 'jelas', 'bagaimana', 'mau', 'byr', 'pajak']",-51,negative,"['kode', 'billing', 'aplikasi', 'gmna', 'byr', 'pajak']",kode billing aplikasi gmna byr pajak,Topik 4 - OTP/Verifikasi Email
Saat minta kode billong malah gak bisa di ketik kolom setelah nama,playstore,saat minta kode billong malah gak bisa di ketik kolom setelah nama,"['saat', 'meminta', 'kode', 'billong', 'malah', 'tidak', 'bisa', 'di', 'ketik', 'kolom', 'setelah', 'nama']",-38,negative,"['kode', 'billong', 'gak', 'ketik', 'kolom', 'nama']",kode billong gak ketik kolom nama,Topik 4 - OTP/Verifikasi Email
Kode Vertifikasi kok lama banget,playstore,kode vertifikasi kok lama banget,"['kode', 'vertifikasi', 'kok', 'lama', 'banget']",-25,negative,"['kode', 'vertifikasi', 'banget']",kode vertifikasi banget,Topik 4 - OTP/Verifikasi Email
"Kaya gak guna aja apknya,, buat cetak kode biling aja gak bisa,,, menunya jg gak lrngkap, banyak yang eror,,,menu menunya jg beberapa dialihkan ke web,,, harusnya sekelas dirjen pajak apk dan layananya harus wajib diperbaiki,,, masyarakat yang udah sadar pentingnya pajak harusnya dipermudah bukan dipersulit bayarnya tau tau dapet surat denda🥴🥴🥴",playstore,kaya gak guna aja apknya buat cetak kode biling aja gak bisa menunya jg gak lrngkap banyak yang erormenu menunya jg beberapa dialihkan ke web harusnya sekelas dirjen pajak apk dan layananya harus wajib diperbaiki masyarakat yang udah sadar pentingnya pajak harusnya dipermudah bukan dipersulit bayarnya tau tau dapet surat denda,"['kayak', 'tidak', 'guna', 'saja', 'apknya', 'buat', 'cetak', 'kode', 'biling', 'saja', 'tidak', 'bisa', 'menunya', 'juga', 'tidak', 'lrngkap', 'banyak', 'yang', 'erormenu', 'menunya', 'juga', 'beberapa', 'dialihkan', 'ke', 'web', 'harusnya', 'sekelas', 'dirjen', 'pajak', 'apk', 'dan', 'layananya', 'harus', 'wajib', 'diperbaiki', 'masyarakat', 'yang', 'sudah', 'sadar', 'pentingnya', 'pajak', 'harusnya', 'dipermudah', 'bukan', 'dipersulit', 'bayarnya', 'tau', 'tau', 'dapat', 'surat', 'denda']",-111,negative,"['kaya', 'gak', 'aja', 'apknya', 'cetak', 'kode', 'biling', 'aja', 'gak', 'menunya', 'gak', 'lrngkap', 'erormenu', 'menunya', 'dialihkan', 'web', 'sekelas', 'dirjen', 'pajak', 'apk', 'layananya', 'wajib', 'diperbaiki', 'masyarakat', 'udah', 'sadar', 'pajak', 'dipermudah', 'dipersulit', 'bayarnya', 'tau', 'tau', 'dapet', 'surat', 'denda']",kaya gak aja apknya cetak kode biling aja gak menunya gak lrngkap erormenu menunya dialihkan web sekelas dirjen pajak apk layananya wajib diperbaiki masyarakat udah sadar pajak dipermudah dipersulit bayarnya tau tau dapet surat denda,Topik 4 - OTP/Verifikasi Email
Ribet tgl kirim otp aja paje syarat ga bs krtu axis xl tri aneh,playstore,ribet tgl kirim otp aja paje syarat ga bs krtu axis xl tri aneh,"['ribet', 'tanggal', 'kirim', 'otp', 'saja', 'paje', 'syarat', 'tidak', 'bisa', 'krtu', 'axis', 'xl', 'tri', 'aneh']",-36,negative,"['ribet', 'tgl', 'kirim', 'otp', 'aja', 'paje', 'syarat', 'krtu', 'axis', 'tri', 'aneh']",ribet tgl kirim otp aja paje syarat krtu axis tri aneh,Topik 4 - OTP/Verifikasi Email
"Buat bayar pajak aja di persulit, Layanan untuk OTP Tri tidak tersedia",playstore,buat bayar pajak aja di persulit layanan untuk otp tri tidak tersedia,"['buat', 'bayar', 'pajak', 'saja', 'di', 'persulit', 'layanan', 'untuk', 'otp', 'tri', 'tidak', 'tersedia']",-34,negative,"['bayar', 'pajak', 'aja', 'persulit', 'layanan', 'otp', 'tri', 'tersedia']",bayar pajak aja persulit layanan otp tri tersedia,Topik 4 - OTP/Verifikasi Email
Ribet otp segala.. Capca segala.. Hadehhb.. Persulit sekali,playstore,ribet otp segala capca segala hadehhb persulit sekali,"['ribet', 'otp', 'segala', 'capca', 'segala', 'hadehhb', 'persulit', 'sekali']",-19,negative,"['ribet', 'otp', 'capca', 'hadehhb', 'persulit']",ribet otp capca hadehhb persulit,Topik 4 - OTP/Verifikasi Email
"Susah log in , pdhal email sandi udah tercatat & benar ..",playstore,susah log in  pdhal email sandi udah tercatat  benar,"['susah', 'log', 'ini', 'padahal', 'email', 'sandi', 'sudah', 'tercatat', 'benar']",-27,negative,"['susah', 'log', 'pdhal', 'email', 'sandi', 'udah', 'tercatat']",susah log pdhal email sandi udah tercatat,Topik 4 - OTP/Verifikasi Email
"Ampuuuuuun dah, web dan apk sama aja email riset pin. sampai ulasan ini aku buat udah 10 x permohonan riset pin namun email riset pin gak kunjung di kirim. Kerja bagus untuk petugas dan system djb,.salut saya😘😘😘😘😘🤩🤩🤩🤩🤭🤭🤭🫢🫢",playstore,ampuuuuuun dah web dan apk sama aja email riset pin sampai ulasan ini aku buat udah  x permohonan riset pin namun email riset pin gak kunjung di kirim kerja bagus untuk petugas dan system djbsalut saya,"['ampuuuuuun', 'sudah', 'web', 'dan', 'apk', 'sama', 'saja', 'email', 'riset', 'pin', 'sampai', 'ulasan', 'ini', 'aku', 'buat', 'sudah', '10', 'kali', 'permohonan', 'riset', 'pin', 'namun', 'email', 'riset', 'pin', 'tidak', 'kunjung', 'di', 'kirim', 'kerja', 'bagus', 'untuk', 'petugas', 'dan', 'system', 'djbsalut', 'saya']",-58,negative,"['ampuuuuuun', 'dah', 'web', 'apk', 'aja', 'email', 'riset', 'pin', 'ulasan', 'udah', 'permohonan', 'riset', 'pin', 'email', 'riset', 'pin', 'gak', 'kunjung', 'kirim', 'kerja', 'bagus', 'petugas', 'system', 'djbsalut']",ampuuuuuun dah web apk aja email riset pin ulasan udah permohonan riset pin email riset pin gak kunjung kirim kerja bagus petugas system djbsalut,Topik 4 - OTP/Verifikasi Email
"Susah skli Dftar smpai k lngkah 2, rquest OTP ggal2 trus Pdhal krtu sim aktiv, jg ad plsa, pkai krtu tlkomsel jg, urus d kkp trdkat gk bisa bntu hrus ssuai wilyah KTP msak cman urus kita byar pjak msih d prsulit",playstore,susah skli dftar smpai k lngkah  rquest otp ggal trus pdhal krtu sim aktiv jg ad plsa pkai krtu tlkomsel jg urus d kkp trdkat gk bisa bntu hrus ssuai wilyah ktp msak cman urus kita byar pjak msih d prsulit,"['susah', 'sekali', 'dftar', 'sampai', 'ke', 'lngkah', '2', 'rquest', 'otp', 'ggal2', 'terus', 'padahal', 'krtu', 'sim', 'aktiv', 'juga', 'ada', 'pulsa', 'pakai', 'krtu', 'tlkomsel', 'juga', 'urus', 'di', 'kkp', 'trdkat', 'tidak', 'bisa', 'bantu', 'harus', 'ssuai', 'wilyah', 'ktp', 'msak', 'cuman', 'urus', 'kita', 'byar', 'pjak', 'masih', 'di', 'prsulit']",-65,negative,"['susah', 'skli', 'dftar', 'smpai', 'lngkah', 'rquest', 'otp', 'ggal', 'trus', 'pdhal', 'krtu', 'sim', 'aktiv', 'plsa', 'pkai', 'krtu', 'tlkomsel', 'urus', 'kkp', 'trdkat', 'bntu', 'hrus', 'ssuai', 'wilyah', 'ktp', 'msak', 'cman', 'urus', 'byar', 'pjak', 'msih', 'prsulit']",susah skli dftar smpai lngkah rquest otp ggal trus pdhal krtu sim aktiv plsa pkai krtu tlkomsel urus kkp trdkat bntu hrus ssuai wilyah ktp msak cman urus byar pjak msih prsulit,Topik 4 - OTP/Verifikasi Email
Payah validasi OTP aja gk bisa bisa ... Udah seharian nyoba tetep aja gagal ...,playstore,payah validasi otp aja gk bisa bisa  udah seharian nyoba tetep aja gagal,"['payah', 'validasi', 'otp', 'saja', 'tidak', 'bisa', 'bisa', 'sudah', 'seharian', 'mencoba', 'tetap', 'saja', 'gagal']",-57,negative,"['payah', 'validasi', 'otp', 'aja', 'udah', 'seharian', 'nyoba', 'tetep', 'aja', 'gagal']",payah validasi otp aja udah seharian nyoba tetep aja gagal,Topik 4 - OTP/Verifikasi Email
"Tlong lh sy udh bnyk hbiss plsa bkin ini,di blng no otp berhsil truss di blng no hp valid gamn sih",playstore,tlong lh sy udh bnyk hbiss plsa bkin inidi blng no otp berhsil truss di blng no hp valid gamn sih,"['tlong', 'boleh', 'saya', 'sudah', 'banyak', 'hbiss', 'pulsa', 'bikin', 'inidi', 'bilang', 'no', 'otp', 'berhsil', 'truss', 'di', 'bilang', 'no', 'hp', 'valid', 'gamn', 'sih']",-40,negative,"['tlong', 'udh', 'bnyk', 'hbiss', 'plsa', 'bkin', 'inidi', 'blng', 'otp', 'berhsil', 'truss', 'blng', 'valid', 'gamn', 'sih']",tlong udh bnyk hbiss plsa bkin inidi blng otp berhsil truss blng valid gamn sih,Topik 4 - OTP/Verifikasi Email
"Sangat jelek,LOLA pake data seluler LOLA pake WIFI LOLA beda HP juga LOLA + ribet, lupa pasword aja suruh paje effin sedangkan effin ngga di kirimkan di email, ujung ujungnya suruh ke KPP Sedangkan KPP terdekat berjarak 40 km jadi fungsinya online buat apa kalo ujung ujungnya suruh datang ke KPP SANGAT TIDAK EFISIEN DAN MERIBETKAN MASYARAKAT",playstore,sangat jeleklola pake data seluler lola pake wifi lola beda hp juga lola  ribet lupa pasword aja suruh paje effin sedangkan effin ngga di kirimkan di email ujung ujungnya suruh ke kpp sedangkan kpp terdekat berjarak  km jadi fungsinya online buat apa kalo ujung ujungnya suruh datang ke kpp sangat tidak efisien dan meribetkan masyarakat,"['sangat', 'jeleklola', 'pakai', 'data', 'seluler', 'lola', 'pakai', 'wifi', 'lola', 'beda', 'hp', 'juga', 'lola', 'ribet', 'lupa', 'pasword', 'saja', 'suruh', 'paje', 'effin', 'sedangkan', 'effin', 'tidak', 'di', 'kirimkan', 'di', 'email', 'ujung', 'ujungnya', 'suruh', 'ke', 'kpp', 'sedangkan', 'kpp', 'terdekat', 'berjarak', '40', 'kamu', 'jadi', 'fungsinya', 'online', 'buat', 'apa', 'kalau', 'ujung', 'ujungnya', 'suruh', 'datang', 'ke', 'kpp', 'sangat', 'tidak', 'efisien', 'dan', 'meribetkan', 'masyarakat']",-74,negative,"['jeleklola', 'pake', 'data', 'seluler', 'lola', 'pake', 'wifi', 'lola', 'beda', 'lola', 'ribet', 'lupa', 'pasword', 'aja', 'suruh', 'paje', 'effin', 'effin', 'ngga', 'kirimkan', 'email', 'ujung', 'ujungnya', 'suruh', 'kpp', 'kpp', 'terdekat', 'berjarak', 'fungsinya', 'online', 'kalo', 'ujung', 'ujungnya', 'suruh', 'kpp', 'efisien', 'meribetkan', 'masyarakat']",jeleklola pake data seluler lola pake wifi lola beda lola ribet lupa pasword aja suruh paje effin effin ngga kirimkan email ujung ujungnya suruh kpp kpp terdekat berjarak fungsinya online kalo ujung ujungnya suruh kpp efisien meribetkan masyarakat,Topik 4 - OTP/Verifikasi Email
"Lupa Kata Sandi, Email Aja Gak dikirim.. parah.. ahahahah... Gaji Gede.. buat APK Gak Becuss",playstore,lupa kata sandi email aja gak dikirim parah ahahahah gaji gede buat apk gak becuss,"['lupa', 'kata', 'sandi', 'email', 'saja', 'tidak', 'dikirim', 'parah', 'ahahahah', 'gaji', 'gede', 'buat', 'apk', 'tidak', 'becuss']",-35,negative,"['lupa', 'sandi', 'email', 'aja', 'gak', 'dikirim', 'parah', 'ahahahah', 'gaji', 'gede', 'apk', 'gak', 'becuss']",lupa sandi email aja gak dikirim parah ahahahah gaji gede apk gak becuss,Topik 4 - OTP/Verifikasi Email
"Kode aktivasi dikirim ke email, pas minimize HP liat kode aktivasi terus balik lagi ke apps DJP ngulang dari halaman awal Kan gobs.....",playstore,kode aktivasi dikirim ke email pas minimize hp liat kode aktivasi terus balik lagi ke apps djp ngulang dari halaman awal kan gobs,"['kode', 'aktivasi', 'dikirim', 'ke', 'email', 'pas', 'minimize', 'hp', 'lihat', 'kode', 'aktivasi', 'terus', 'balik', 'lagi', 'ke', 'apps', 'djp', 'ngulang', 'dari', 'halaman', 'awal', 'kan', 'gobs']",-23,negative,"['kode', 'aktivasi', 'dikirim', 'email', 'pas', 'minimize', 'liat', 'kode', 'aktivasi', 'apps', 'djp', 'ngulang', 'halaman', 'gobs']",kode aktivasi dikirim email pas minimize liat kode aktivasi apps djp ngulang halaman gobs,Topik 4 - OTP/Verifikasi Email
"Tombol pilihan jenis pajak dan jenis storan gak bisa di klik ketika mau buat kode biling,.. mohon diperbaiki kakak. Untuk tampilan sudah cukup bagus dan simple.",playstore,tombol pilihan jenis pajak dan jenis storan gak bisa di klik ketika mau buat kode biling mohon diperbaiki kakak untuk tampilan sudah cukup bagus dan simple,"['tombol', 'pilihan', 'jenis', 'pajak', 'dan', 'jenis', 'storan', 'tidak', 'bisa', 'di', 'klik', 'ketika', 'mau', 'buat', 'kode', 'biling', 'mohon', 'diperbaiki', 'kakak', 'untuk', 'tampilan', 'sudah', 'cukup', 'bagus', 'dan', 'simple']",-41,negative,"['tombol', 'pilihan', 'jenis', 'pajak', 'jenis', 'storan', 'gak', 'klik', 'kode', 'biling', 'mohon', 'diperbaiki', 'kakak', 'tampilan', 'bagus', 'simple']",tombol pilihan jenis pajak jenis storan gak klik kode biling mohon diperbaiki kakak tampilan bagus simple,Topik 4 - OTP/Verifikasi Email
Buat kode billing g bisa kenapa dg aplikasi ini,playstore,buat kode billing g bisa kenapa dg aplikasi ini,"['buat', 'kode', 'billing', 'tidak', 'bisa', 'kenapa', 'dengan', 'aplikasi', 'ini']",-56,negative,"['kode', 'billing', 'aplikasi']",kode billing aplikasi,Topik 4 - OTP/Verifikasi Email
Udah pakek 4 email ga ada yang berhasil sama sekali. Masa tiap nunggu validasi data doang sejam yang bener dong. Iya kalo jadi ini kagak,playstore,udah pakek  email ga ada yang berhasil sama sekali masa tiap nunggu validasi data doang sejam yang bener dong iya kalo jadi ini kagak,"['sudah', 'pakai', '4', 'email', 'tidak', 'ada', 'yang', 'berhasil', 'sama', 'sekali', 'masa', 'tiap', 'menunggu', 'validasi', 'data', 'doang', 'sejam', 'yang', 'benar', 'dong', 'iya', 'kalau', 'jadi', 'ini', 'kagak']",-60,negative,"['udah', 'pakek', 'email', 'berhasil', 'nunggu', 'validasi', 'data', 'doang', 'sejam', 'bener', 'iya', 'kalo', 'kagak']",udah pakek email berhasil nunggu validasi data doang sejam bener iya kalo kagak,Topik 4 - OTP/Verifikasi Email
Email akvifasi saya kenapa belum dikirim,playstore,email akvifasi saya kenapa belum dikirim,"['email', 'akvifasi', 'saya', 'kenapa', 'belum', 'dikirim']",-10,negative,"['email', 'akvifasi', 'dikirim']",email akvifasi dikirim,Topik 4 - OTP/Verifikasi Email
Kenapa saya tidak dapat membuat kode billing ? Pada menu Jenis pajak dan Jenis Setoran tidak dapat di tekan.,playstore,kenapa saya tidak dapat membuat kode billing  pada menu jenis pajak dan jenis setoran tidak dapat di tekan,"['kenapa', 'saya', 'tidak', 'dapat', 'membuat', 'kode', 'billing', 'pada', 'menu', 'jenis', 'pajak', 'dan', 'jenis', 'setoran', 'tidak', 'dapat', 'di', 'tekan']",-60,negative,"['kode', 'billing', 'menu', 'jenis', 'pajak', 'jenis', 'setoran', 'tekan']",kode billing menu jenis pajak jenis setoran tekan,Topik 4 - OTP/Verifikasi Email
"Saya sdh buat e billing melalui aplikasi ini, setelah klik kode billing kenapa tdk muncul download ringkasannya, kenap?",playstore,saya sdh buat e billing melalui aplikasi ini setelah klik kode billing kenapa tdk muncul download ringkasannya kenap,"['saya', 'sudah', 'buat', 'e', 'billing', 'melalui', 'aplikasi', 'ini', 'setelah', 'klik', 'kode', 'billing', 'kenapa', 'tidak', 'muncul', 'download', 'ringkasannya', 'kenap']",-50,negative,"['sdh', 'billing', 'aplikasi', 'klik', 'kode', 'billing', 'tdk', 'muncul', 'download', 'ringkasannya', 'kenap']",sdh billing aplikasi klik kode billing tdk muncul download ringkasannya kenap,Topik 4 - OTP/Verifikasi Email
"Bagus banget. sudah lama saya memimpikan aplikasi android dr pajak. buat billingnya pun cuma sekali tekan, tdk perlu capca jg. Saran : 1. Kode billing bs didownload dalam bentuk pdf atau gambar. 2. Ada menu transaksi favorit. Agar tdk bingung pembayaran yg sama tiap bulannya(umkm) 3. Ada semacam virtual asistent kayak samsung. Wah pasti banyak yg bakal download. Mungkin si Viska dr e-learning bs tuh. 4. Kode billing yg sdh dibuat bisa dilihat kembali, jd tdk perlu bikin lagi. Tetap semangat....",playstore,bagus banget sudah lama saya memimpikan aplikasi android dr pajak buat billingnya pun cuma sekali tekan tdk perlu capca jg saran   kode billing bs didownload dalam bentuk pdf atau gambar  ada menu transaksi favorit agar tdk bingung pembayaran yg sama tiap bulannyaumkm  ada semacam virtual asistent kayak samsung wah pasti banyak yg bakal download mungkin si viska dr elearning bs tuh  kode billing yg sdh dibuat bisa dilihat kembali jd tdk perlu bikin lagi tetap semangat,"['bagus', 'banget', 'sudah', 'lama', 'saya', 'memimpikan', 'aplikasi', 'android', 'dari', 'pajak', 'buat', 'billingnya', 'pun', 'cuma', 'sekali', 'tekan', 'tidak', 'perlu', 'capca', 'juga', 'saran', '1', 'kode', 'billing', 'bisa', 'didownload', 'dalam', 'bentuk', 'pdf', 'atau', 'gambar', '2', 'ada', 'menu', 'transaksi', 'favorit', 'agar', 'tidak', 'bingung', 'pembayaran', 'yang', 'sama', 'tiap', 'bulannyaumkm', '3', 'ada', 'semacam', 'virtual', 'asistent', 'kayak', 'samsung', 'wah', 'pasti', 'banyak', 'yang', 'bakal', 'download', 'mungkin', 'sih', 'viska', 'dari', 'elearning', 'bisa', 'tuh', '4', 'kode', 'billing', 'yang', 'sudah', 'dibuat', 'bisa', 'dilihat', 'kembali', 'jadi', 'tidak', 'perlu', 'bikin', 'lagi', 'tetap', 'semangat']",-180,negative,"['bagus', 'banget', 'memimpikan', 'aplikasi', 'android', 'pajak', 'billingnya', 'tekan', 'tdk', 'capca', 'saran', 'kode', 'billing', 'didownload', 'bentuk', 'pdf', 'gambar', 'menu', 'transaksi', 'favorit', 'tdk', 'bingung', 'pembayaran', 'bulannyaumkm', 'virtual', 'asistent', 'kayak', 'samsung', 'download', 'viska', 'elearning', 'tuh', 'kode', 'billing', 'sdh', 'tdk', 'bikin', 'semangat']",bagus banget memimpikan aplikasi android pajak billingnya tekan tdk capca saran kode billing didownload bentuk pdf gambar menu transaksi favorit tdk bingung pembayaran bulannyaumkm virtual asistent kayak samsung download viska elearning tuh kode billing sdh tdk bikin semangat,Topik 4 - OTP/Verifikasi Email
"Gak tau malu yah udah mah di gaji
dari hasil rakyat ditelpon gk bisa, di
dm gk bisa, di email gk di jawab,
dikomen gk di jawab, tapi bisa bikin
postingan baru. Mantap",instagram,"gak tau malu yah udah mah di gaji
dari hasil rakyat ditelpon gk bisa di
dm gk bisa di email gk di jawab
dikomen gk di jawab tapi bisa bikin
postingan baru mantap","['tidak', 'tau', 'malu', 'ya', 'sudah', 'mah', 'di', 'gaji', 'dari', 'hasil', 'rakyat', 'ditelpon', 'tidak', 'bisa', 'di', 'dm', 'tidak', 'bisa', 'di', 'email', 'tidak', 'di', 'jawab', 'dikomen', 'tidak', 'di', 'jawab', 'tapi', 'bisa', 'bikin', 'postingan', 'baru', 'mantap']",-157,negative,"['gak', 'tau', 'malu', 'yah', 'udah', 'mah', 'gaji', 'hasil', 'rakyat', 'ditelpon', 'email', 'dikomen', 'bikin', 'postingan', 'mantap']",gak tau malu yah udah mah gaji hasil rakyat ditelpon email dikomen bikin postingan mantap,Topik 4 - OTP/Verifikasi Email
"min mau tanya, website non aktifin pajak kita di djp-indomhdotcc ya? ada org pajak tlp katanya lewat situ namanya felicia, krn td lg keluar pas tlp balik yg angkat laki2 suaranya yg kyk tlp penipuan, klo bkn parah data ai bocor min nik, no kartu pajak alamat bener semua, kec email yg salah. pas cek lg websitenya lgsg d apus, pas d ai blg kok .cc belakangnya, dan blg mua cek dl d website pajak",instagram,min mau tanya website non aktifin pajak kita di djpindomhdotcc ya ada org pajak tlp katanya lewat situ namanya felicia krn td lg keluar pas tlp balik yg angkat laki suaranya yg kyk tlp penipuan klo bkn parah data ai bocor min nik no kartu pajak alamat bener semua kec email yg salah pas cek lg websitenya lgsg d apus pas d ai blg kok cc belakangnya dan blg mua cek dl d website pajak,"['min', 'mau', 'tanya', 'website', 'non', 'aktifin', 'pajak', 'kita', 'di', 'djpindomhdotcc', 'ya', 'ada', 'orang', 'pajak', 'telepon', 'katanya', 'lewat', 'situ', 'namanya', 'felicia', 'karena', 'tadi', 'lagi', 'keluar', 'pas', 'telepon', 'balik', 'yang', 'angkat', 'laki-laki', 'suaranya', 'yang', 'kayak', 'telepon', 'penipuan', 'kalau', 'bukan', 'parah', 'data', 'ai', 'bocor', 'min', 'nik', 'no', 'kartu', 'pajak', 'alamat', 'benar', 'semua', 'kec', 'email', 'yang', 'salah', 'pas', 'cek', 'lagi', 'websitenya', 'langsung', 'di', 'hapus', 'pas', 'di', 'ai', 'bilang', 'kok', 'cc', 'belakangnya', 'dan', 'bilang', 'mua', 'cek', 'dulu', 'di', 'website', 'pajak']",-181,negative,"['min', 'website', 'non', 'aktifin', 'pajak', 'djpindomhdotcc', 'org', 'pajak', 'tlp', 'situ', 'namanya', 'felicia', 'krn', 'pas', 'tlp', 'angkat', 'laki', 'suaranya', 'kyk', 'tlp', 'penipuan', 'klo', 'bkn', 'parah', 'data', 'bocor', 'min', 'nik', 'kartu', 'pajak', 'alamat', 'bener', 'kec', 'email', 'salah', 'pas', 'cek', 'websitenya', 'lgsg', 'apus', 'pas', 'blg', 'belakangnya', 'blg', 'mua', 'cek', 'website', 'pajak']",min website non aktifin pajak djpindomhdotcc org pajak tlp situ namanya felicia krn pas tlp angkat laki suaranya kyk tlp penipuan klo bkn parah data bocor min nik kartu pajak alamat bener kec email salah pas cek websitenya lgsg apus pas blg belakangnya blg mua cek website pajak,Topik 4 - OTP/Verifikasi Email
Ada yang sama nggak? Lupa password dan email saat mau aktivasi akun tidak ada..,instagram,ada yang sama nggak lupa password dan email saat mau aktivasi akun tidak ada,"['ada', 'yang', 'sama', 'tidak', 'lupa', 'password', 'dan', 'email', 'saat', 'mau', 'aktivasi', 'akun', 'tidak', 'ada']",-37,negative,"['nggak', 'lupa', 'password', 'email', 'aktivasi', 'akun']",nggak lupa password email aktivasi akun,Topik 4 - OTP/Verifikasi Email
Aktifkan fitur Lupa email dan Nomor HP admin,instagram,aktifkan fitur lupa email dan nomor hp admin,"['aktifkan', 'fitur', 'lupa', 'email', 'dan', 'nomor', 'hp', 'admin']",-9,negative,"['aktifkan', 'fitur', 'lupa', 'email', 'nomor', 'admin']",aktifkan fitur lupa email nomor admin,Topik 4 - OTP/Verifikasi Email
