userName,score,content,at
Vander Juma,1,"Aplikasi gak guna. Mau log in ja sush. Nunggu e-mail, giliran buka e-mail. Mlah ngulang lagi dari awal. Terus aja gak kelar2.",2025-02-11 00:30:08
Rasma wati .,3,Ranting 3 sangat bagus dan oke 🤭,2025-02-10 21:36:24
Dewa Maut Dewa241285,1,Burukkkkkk............mau login padahal password yg lama aja masih bisa pakai...lah ini udah di suruh update lagi malah gak bisa masuk2.....ribetttt,2025-02-10 15:53:38
Ulifa Ulifa,1,Aplikasi gk berguna,2025-02-10 14:42:38
Dana Dilla,1,"Website/aplikasi pemerintah memang selalu ampas. Anggaran besar, hasil kerja konyol",2025-02-10 14:33:17
Nabila Nadya,5,mantap aplikasi,2025-02-10 11:07:01
fuad khumaidiholic,1,semua yg berhubungan dengan instansi pemerintah lemot baik website atau aplikasi nya mau lapor pajak saja dipersulit harusnya buat aplikasi yg simple dan mudah di mengerti serta responsif,2025-02-10 10:22:02
Asep Cell,1,SEMUA MENU SUDAH KADALUWARSA..PERCUMA ADA MENU GA BERGUNA ..APLIKASI SPAM,2025-02-10 09:28:26
Cemani Solo,4,Di tingkatkan lagi,2025-02-10 06:07:37
Dandy Ginting (Sales Daihatsu),1,Sungguh memuakkan. Sekedar untuk mengecek NO Npwp ataupun membuat Npwp sangat susah. Aku benci,2025-02-10 05:50:44
Yuli Sapta#MELAK CITY##,1,Ribettt,2025-02-10 04:23:06
Edang People,1,Sial... Menunya sedikit. Tidak sama punya teman,2025-02-10 03:45:09
Ozi Tanjung,1,Sudah berapa banyak Rupiah masyarakat terbuang sia² di aplikasi ini. Useless. Untuk biaya sms verifikasi saja masih dibebankan kepada user. Sementara user bayar pajak.,2025-02-10 03:14:52
David Sigalingging,1,Perbaiki server nya dulu lah,2025-02-10 02:43:49
Habib nur,1,apk payah sulit banget buat ACC aja,2025-02-09 14:13:05
Hendrias S,5,Ok,2025-02-09 12:35:10
Dewi Anggraini,3,"Minta tolong berbagi informasi, ada yang cht mengatas namakan dpj bahwa saya mendapatkan bantuan UMKM, contoh cht WA ""Dengan hormat, Kami ingin menginformasikan bahwa Anda terdaftar sebagai penerima Bantuan Langsung Tunai (BLT) UMKM dari Kementerian Koperasi Dan Direktorat Jenderal Pajak. Setelah informasi data diri lanjut dengan cht WA Kementerian Koperasi dan UKM memberikan BLT UMKM dengan dana berjumlah Rp. 7.200.000 yang sasarannya para pengusaha mikro yang akan direalisasikan di bulan 2",2025-02-09 12:18:24
Bayu Satria Samudra,1,mau daftar tp di menu nya di mana?,2025-02-09 12:10:49
Andrian MilkyWay,1,"Aplikasi dan webset pemerintah kaya gini? Parah, ga guna banget Mau daftar aja susah",2025-02-09 08:57:14
point store,1,"mau laporan pajak, lupa password, ribet, lupa efin, by aplikasi, gk bisa, live agent sibuk terus, by phone, sibuk agent nya, gk bayar pajak d kejar, di denda, mau laporan, d persulit, ribet amat.",2025-02-09 07:13:39
Icksan Syah,1,APLIKASI SAMPAH.. LUPA PASSWORD UDAH NGIKUTIN LANGKAH2 VERIFIKASI GMAIL GA MUNCUL,2025-02-09 06:45:57
euisrosita girja,1,Kenapa kode verifikasi OTP susah masuk nya padahal saya mau daftar aneh banget.,2025-02-09 06:28:56
Yudha Ikhwal Maryanto,1,Aplikasi Penipuan,2025-02-09 05:16:57
Khafid Nas,1,Gblok,2025-02-09 04:15:42
Asep Yanto,1,Apkasi bodong kebanyakan dikorupsi nih aplkasi nya,2025-02-09 04:15:20
Sucia Fitri,1,Tidak membantu,2025-02-09 03:19:18
ramadhan,1,"Kembalikan kotak centang lupa email,",2025-02-08 23:55:39
Hasmih,1,"Saya baru coba saja aplikasi ini, bagaimana cara untuk minta nomor efin yang dilupa",2025-02-08 13:58:46
Cristhoper Wamena,1,"verifikasi gamasuk masuk aneh pake pulsa katanya harus ada pulsa ,tp pulsa banyak tetep lama ,pake email apa lahi berkali kali coba ga masuk masuk anehh",2025-02-08 06:46:03
Rudi Karmawan,3,Alangkah baiknya lapor SPT bisa diaplikasi ini juga,2025-02-08 05:26:04
Bella Felani,1,Sistem Error,2025-02-08 03:04:16
Yolan Mustika,5,"Alhamdulillah.. Terimakasih, aplikasi ini sangat membantu saya untuk yang lupa EFIN.. Saya tidak perlu susah2 datang langsung k kantor pajak yg lumayan jauh dr rumah saya.. Sekali klik d aplikasi M-Pajak sudah dapat kembali no EFIN saya 🙏🙏🙏",2025-02-08 00:25:25
Sam Sudin,1,Tidak bisa diakses,2025-02-08 00:06:46
Nuril Ahmad,4,"Formula ,bagai mana menganti nomor telpon yang terdaptar, tidak dapat nomor porpikasi",2025-02-07 18:37:25
Muhammad Dimas Saputra,3,"Untuk M-Pajak belum support npwp 16 digit ya? Saya mau buat efin harus isi npwp 15 digit😔,kalo sudah beres saya kasih bintang 5 dah. Tolong dibenerin ya mas mbak",2025-02-07 14:48:57
Shahad Hernandhi,1,Ngk mobile ng webnya ngk offline kantornya sama sama susah,2025-02-07 10:57:55
suherman tunjang,1,pemerintah sllu bikin aplikasi yg bikin rakyat mumet.. aplikasi bnyk error,2025-02-07 09:41:50
wawan One,1,Saya sudah berapa kali coba tetaapp salah teruss,2025-02-07 09:01:03
Djunaidi Tanudjaja,5,Semoga berhasil melapor SPT tahuna,2025-02-07 07:36:44
Rizky Dwi Walendy,1,Aplikasi gk jelas pasword sudah benar masih aja ngomong pasword salah gk jelas banget,2025-02-07 05:04:53
Hendri Sae,1,"Masuk aja susah, suruh masukin kode tapi gk dikirim ke email, sekelas aplikasi untuk negara kok kaya gtu",2025-02-07 03:56:46
donatus bata,4,saya berikan 4 🔯 dulu karena baru awal saya pakai aplikasi ini,2025-02-07 03:32:02
Satria Fauzan,1,aplikasi gak gunaa.. percuma di download kalo lapor pajak aja tetep lewat google 👎👎👎,2025-02-07 02:32:06
Andi Chairil Iskandar,5,aplikasi tidak bisa terbuka,2025-02-06 17:14:19
175_ Sulfahmi,1,Bikin bangkrut warga indonesia,2025-02-06 15:39:24
akbar Faisal,2,Gimana daftarnya,2025-02-06 14:09:51
Afriza Dwi,1,"Apk gk guna,lupa efin aja ribiet nih apak",2025-02-06 12:59:18
Yosef Chrisna,1,Bukan aplikasi resmi dari pemerintah ya kawan-kawan,2025-02-06 10:20:50
yana Faiz,1,mau minta nomer efin harus masukin npwp dan npwp sama dengan nik di ktp tetapi pengisian npwp di alpikasi harus 15 angka sedangkan nik terdiri dari 16 angka ini gimana pabowo,2025-02-06 09:55:11
Zaenal Abidin,5,sulit login,2025-02-06 08:42:35
Kevin Ilhamsyah,1,"Lelet, aplikasi apa ini. Kek mana rakyat mau taat lapor pajak, disuruh verifikasi² tapi kode ke email gak masuk² 🇲🇨🇲🇨🇲🇨🇲🇨",2025-02-06 08:00:09
Agus Iskandar,1,Aplikasi sampah,2025-02-06 07:58:55
Taufiq Akbar,1,Tambah jelek,2025-02-06 07:53:38
Adam Sughro W,1,"Aplikasi luemoottt ,,",2025-02-06 07:24:51
Ahmad Ruswandi,1,Aplikasi M pajak sama website djp online nya ko sama sama sampah yah ? Susah banget buat log in,2025-02-06 05:55:11
Nasywa nachan,1,"Banyak bug error, ribet, dikira bakal memudahkan ternyata engga.",2025-02-06 05:51:09
Matheus Prayogo,1,Gak ada tombol efinnya weh,2025-02-06 05:29:18
Niki Setiawan,1,"Minta efin muter muter doang, yang bener apa bikin aplikasi, masa kalah sama aplikasi bikinan swasta",2025-02-06 05:14:39
Debora Nainggolan,1,lemot,2025-02-06 04:20:48
Ashok Black,5,Sangat membantu,2025-02-06 02:10:43
Rahmat Tri Oksi Putra,1,"pendaftaran susah, link gk bisa di akses",2025-02-05 15:00:33
Khabib bibah,1,Aplikasi ga guna lol bgt,2025-02-05 12:49:01
Florapedia,2,"Sayangnya, tiap kali jam kerja g bisa akses. Cuma muter"" aja.",2025-02-05 10:15:50
Dwi Ristiawan,1,Ngebug aplikasinya,2025-02-05 08:29:49
syahira hanafila huda,1,Tidak membantu,2025-02-05 07:41:39
hasan kosim,1,Eror terus jadi horor,2025-02-05 07:27:53
Usep Wahyudi,1,Mau masuk akun ajh susah. Benahi dulu apk ya dong.,2025-02-05 06:51:55
arik aguk,1,Mohon diperhatikan khusus untuk aplikasi djp ini shg wajib pajak juga bisa tertib...,2025-02-05 06:15:34
Falah Miko,1,"Kg jelas situ nya masa mau buat npwp link terlalu lambat respon bikin lama aja orang pengen buat NPWP, bikin ribet Bae",2025-02-05 05:29:43
Andi Taufiq Rahman,1,Ga web nya ga apk nya ga guna,2025-02-05 05:17:33
arif triasmara,1,Email yahoo g bs menerima email samaskali. Dan g bisa perubahan email. Terus verifikasi hrs pake pulsa terus brarti ini,2025-02-05 04:41:13
Muhamad Fikri Ramadhan,1,"Kebanyakan verifikasi, masuk nya mah ngga ngntod",2025-02-05 04:30:16
No Names,1,"Hati hati guys, saya coba tanya di kantor pajak langsung, katanya tidak ada aplikasi resmi dari direktorat pajak, jadi jangan mudah percaya guys",2025-02-05 04:10:42
Muhammad Hizbul Aqsha,1,"UDAH WEB GAJELAS, DI APK INI MALAH ANEH.. UANG MAU DI SETOR KE NEGARA AJA DIBUAT SUSAH, LEMBAGA KOCAK",2025-02-05 02:17:49
Tri Wahyuningsih,1,"Mengajukan lupa EFIN, sudah ngisi syarat2nya, katanya dikirim lewat email, tapi sampai sekarang nggak ada email masuk. Chat lewat Live Chat juga respon bertele2. Mau tertib kok susah amat.",2025-02-05 01:28:17
Anton Prayogo,1,Tidak berguna,2025-02-04 12:27:46
Sharp Sasmito,5,Top,2025-02-04 11:22:42
SuperZ,1,Gabisa daftar,2025-02-04 11:03:45
muhammad arif,1,Servernya offline gak ngirim code verifikasi,2025-02-04 10:21:44
Ananda Pratama,1,Keren aplikasi nya,2025-02-04 10:18:29
Ucin Herfin,5,pelayanan pajak prima dan praktis,2025-02-04 09:06:00
Jumari Cah gagah,1,Aplikasi tersusah di muka bumi ini.,2025-02-04 08:50:09
Ws Hanan,1,aplikasi gak berguna anggaran besar tapi hasil nol mau login email malah ganti sendiri ke email lama padahal udah update verifikasi lewat no hp tri gak masuk2 smsnya parahh,2025-02-04 06:53:20
Bona Sinaga,1,Aplikasi tolol,2025-02-04 06:44:05
Arip Rahman,5,Ok,2025-02-04 06:35:37
Hasbi Assidiq,1,Lupa password juga bingung harus gimana? Gak ada menu lupa password. Di website juga bingung. Harus ada kode EFIN. Kenapa org yg mau bayar pajak aja sulit ya 😂😂 wakanda emang bgini,2025-02-04 05:50:49
mr bee best,1,Lupa efin Ndak bisa lewat sini Susah amat,2025-02-04 04:58:27
Ikbal Hakim,1,Benar benar Parah,2025-02-04 04:27:00
Teguh Siswanto Saputra,1,"Aplikasi ga guna, lemotnya minta ampun",2025-02-04 03:00:34
moh arif syahroni,1,"Coretaxnya gajelas cok, mau bayar pajak aja sulit.",2025-02-03 19:26:04
indy Cidney,5,"Proses cepat, thanks",2025-02-03 13:00:14
Arief Jacky,1,Aplikasi gak guna... gak bisa membatu apa-apa.... menu daftarnya aja gak ada....,2025-02-03 11:08:47
Eddie Ogas,1,Aplikasi tidak bekerja. Ujung ujungnya tetap ke kantor.,2025-02-03 10:55:15
Muhamad Annas,3,"Nomer NPWP nya masig 15 digit, padahal di npwp skarang udah 16 digit. Jadi ga bisa bikin efin",2025-02-03 08:32:48
Hamba Allah,1,G guna,2025-02-03 08:07:02
chaesarianosaurus rex,1,"Apaan, gagalterus pas verifikasi EFIN. Tolong segera diperbaiki.",2025-02-03 08:04:49
Ery Sepbryatna,1,Aplikasi bermasalah tidak bisa digunakan,2025-02-03 06:49:16
Saihul Islam,1,Ga bisa login padahal sudah aktivasi,2025-02-03 05:42:16
Rangga Buana,1,Bayar pajak aj bikin susah rakyat. Ribet,2025-02-03 02:29:05
Jamaludin ludin,5,Bagus,2025-02-03 01:51:49
haloyogaaa,1,"Gunanya livechat diweb dan diaplikasi pajangan doangkah? Untuk diakses susah amat live chatnya. Koneksi terputus mulu. Coretax susah diakses lagi, mau daftar malah nik sudah diduplikasi mulu",2025-02-03 01:32:02
Fery Andriawan,1,"Update 2 januari tetap bermasalah di pengisian EFIN,mohon segera di tindak lanjuti dn jngan hnya diam saja. Segera layani masyarakat mu jika ada keluhan,jangan cuma dilihat saja keluhannya. KELUHAN SAMA,TANPA ADA PERBAIKAN.",2025-02-03 01:20:54
Ibnu,1,"Mau buat efin online trus dimintain masukan NPWP 15 angka sedangkan NPWP saya ada 16 angka, kurang satu angka gak bisa dimasukin. Kocak",2025-02-02 18:48:45
Indra Bungsu,5,Top,2025-02-02 15:41:29
Abdul Rauf,3,Buat daftar NPWP aja susah minta ampun,2025-02-02 14:54:46
Kholil Mahendra,1,Apk gajelas baru download gabisa di buka malah force close Klo game berat wajar lah ini apk apaan. Butuh spek gaming kah biar bisa kebuka kocak!!!,2025-02-02 13:38:15
Mitra makmur Motor,1,"mau bayar pajak bulanan aja susah.. mesti bikin coretax, sekali bikin susah minta ampun..gak bayar kena denda.. bikin pusing aja +62, system triliunan kyk gini",2025-02-02 07:24:32
NOFITA Andriani,1,Saya baru aja menggunakan aplikasi ini dan sudah daftar kenapa pas mau login selalu salah unsernamenya padahal jelas saya sudah benar sangat tidak membantu,2025-02-02 03:57:33
Anshori47,1,"Fitur tidak lengkap, percuma",2025-02-02 02:36:25
roby pasa,1,"Kebanyakan aturan apk gk efisien ribet ruwet,mau bayar pajak dipersulit..",2025-02-01 17:22:10
Pur Hadi,5,Ok,2025-02-01 15:24:51
dzaka Tiar,1,"semakin membingungkan, setiap tahun susah login malah harus ke kantor pajak dilu",2025-02-01 11:23:27
Kang Azis Azza,1,"Aplikasi tidak jelas, sekalinya anda menginstal aplikasi, siap siap hp anda nge Heng...",2025-02-01 10:01:35
Tria Juliawati,1,Jelek,2025-02-01 08:45:41
Sandi Firmansyah,1,Intinya ribet dan kurangnya efisien,2025-02-01 04:00:03
Hanne Diar Pitasari,1,"Mau input nomor npwp, sedangkan nomor nya sudah sama dgn nik total 16 angka. Tapi di kolom input nomor npwp hanya bisa input 15 angka saja",2025-02-01 03:24:47
Rizki 007,1,Sekelas kementrian keuangan bkin aturan malah ngeribetin... lapor spt nunggu kode verifikasi hampir 3hr gk masuk2..,2025-01-31 09:46:15
Indriyani Indri,5,Ok,2025-01-31 09:32:49
Halim,1,Server lemot parah untuk sekelas pemerintah tolong diperbaiki heran asli,2025-01-31 09:02:39
Ichfajria Nurbais Adilla,1,"JELEK BANGEEEEEEET YA ALLAAAAAAH 😭😭 GA BANTU SAMA SEKALI, MANA LIVE CHAT NYA ERROR MULU, ASTAGFIRULLAAAAAAAAH",2025-01-31 08:47:08
Ataya 165,1,Apl abala abalan,2025-01-31 08:12:56
Yuda Effendi,5,Sangat membantu dan gak ribet,2025-01-31 07:46:50
firdaus nuha,1,Kayaknya kita yang bayar ya..tapi kenapa kita juga yang lebih rueepot 😄,2025-01-31 07:26:28
Ika Puspita,3,"Di aplikasi saya, kenapa tombol efin nya tidak ada, yg muncul hanya tombol beranda dan bayar, mohon petunjuknya 🙏",2025-01-31 04:12:23
Deni Listianto,1,"Aplikasi pemerintah payah Masak mau lapor pajak tiba2 alamat email saya berubah sendiri Terus datang ke kantor pajak, pegawai bilang error dr pusat dan banyak alamat email yg berubah sendiri dan tidak bisa untuk pelayanan lapor pajak Terus kita mau lapor pajak bagaimana??? Kalo kita gak lapor kena denda tapi sistemnya kayak begini Sudah ketahuan gimana bobroknya pemerintah dan instansi yang seperti ini",2025-01-31 02:02:24
Ekky Dwirahmawan,1,Saya mau buat spt masuk akunnya saja susah harus konfirmasi email sm telpn tapi g ada pemberitahuan code diemail sm telpn gimana mau laporan,2025-01-31 02:00:38
Rendi Nur Ardiansyah,1,"Buang2 anggaran biki aplikasi di jaman teknologi gini ajh ga becus, banyak bug gapernah di benerin.",2025-01-31 00:14:24
Dwi Aji Prasetyo,1,"GIMANA RAKYAT MAU BAYAR PAJAK URUSAN APLIKASI AJA BANYAK ERORNYA BUGNYA DIMANA MANA, HEIII PERBAIKI DULU APLIKASIMU JANGAN KORUPSI MELULU",2025-01-30 23:50:27
LiQuiD chanel,1,Apk ga ada guna. Ga sesuai fungsi. Ga bisa di jalankan. Hanya untuk modus mengeluarkan anggaran pembuatan apk.,2025-01-30 23:43:31
jony kapos,1,"Mau login, sudah memasukan NPWP/NIK serta password yang benar, tapi tetap gak bisa login dan dinyatakan salah terus. Sementara login di web DJP Online gak masalah. Jadi kesimpulan sementara sebenarnya aplikasinya yang salah.",2025-01-30 16:03:31
Anjas Anggara,1,Kagak ada guna nih apk. Buat minta efin aja sulit bgt.,2025-01-30 13:01:15
Nurul Adhom Fahrur Rosyid,1,Mau laporan SPT saja susahnya minta ampun,2025-01-30 12:14:54
Handaka Gatot,5,Memberikan kemudahan dalam administrasi dan pelaporan pajak tanpa harus datang dan antri secara fisik di kantor pajak,2025-01-30 10:22:59
Firah HF,1,Ini aplikasi untuk apa? Tidak berguna sama sekali Atau cuma buat aplikasi untuk menghabiskan anggaran saja.,2025-01-30 09:55:16
Edwin Kurniawan,1,Aplikasi gak guna!,2025-01-30 06:56:03
Hani Eka Permatasari,1,"BAYAR PAJAK DOANG, APKNYA GA BERJALAN DENGAN BAIK. PERTANYAAN SAMA CS KAGA BISA",2025-01-30 06:43:20
untung -sukamara,1,"Orang mau lapor aja susahnya minta ampun, masuk web juga gk masuk2, lantaran verifikasi gak masuk2, via email maupun no telp. Pake aplikasi sama saja, mau lapor aja seneng banget nyusahin rakyat..",2025-01-30 06:41:35
itang ode,1,lambat,2025-01-30 06:28:03
gustaf Lado,1,"Saya maunya lapor pajak, cumaN NPWP nya di.persulit Sudah tinggalnya d kepulauan Giliram urus online Tetap aja suruh ke kantor Ahh Bodo amat lah Bukannya mudah Malah nambah pengeluaran Kl cumam.seratus ribu.ma gpp Ongkosnya Juta ne kl harus ke kantor Mending ogah",2025-01-30 06:04:38
Abdul Hofur,1,Nggak berkembang,2025-01-30 05:04:42
ulas jual,1,OTP lama banget. Uang pajak banyak bikin aplikasi sulit,2025-01-30 04:53:15
Dinan Galih Pradipta,1,Aplikasi belum siap udah dipublish aja... Nyampe kantor pajak disuruh pake website! Petugasnya ngga welcome pula.. 🤣,2025-01-30 04:10:38
Ceriza,1,susah sekali login,2025-01-30 03:39:54
Penyuluh Pertanian Ahli,1,Eror teruuuus dari zaman dulu gk ngasih solusi,2025-01-30 02:44:53
Deni Moh Jalalludin,5,"Terimakasih sangat amat membantu, lupa efin diaplikasi ini hanya membutuhkan waktu beberapa menit, efin langsung masuk email..",2025-01-30 02:33:53
masfarudin as,5,Ok,2025-01-29 23:53:30
Joko Wahyudi,5,Membantu lapor pajak,2025-01-29 13:19:14
supri yono,5,Baik,2025-01-29 12:26:12
Rental Motor Sepinggan Balikpapan,1,"Salah satu hal paling t*lol dari pajak di Indonesia adalah kami yang kerja, kami yang bayar pajak, kami juga yang perlu repot lapor2an.",2025-01-29 05:05:00
ragna khufra,1,"Apa apaan ini aplikasinya udah lengkap semua data yg diminta, malah dipersulit, padahal bener2 lupa efin Niat buat aplikasi ga sih, kalo emng ganiat buat aplikasi sekalian aja nyuruh masyarakat datengin langsung kantor pajak yg terdekat buat npwp,dihapus aja apk nya ga guna juga Jaman canggih TPI apk bobrok!",2025-01-29 02:11:35
QMEN CREW,1,Ga bisa login anjinggg,2025-01-28 17:07:30
Egi Faozuddiin,1,"Lewat apk Dipersulit, padahal mau membantu negara dengan bayar pajak",2025-01-28 11:01:12
Krisdiyanti Krisdiyanti,1,Untuk buat npwp aja susah. Aplikasi nya ngga jelas banget. Live chat nya ngaco ngapain dibuat kalau ngga bisa ngebantu.,2025-01-28 04:32:43
Innaka Apealla,3,Pelayanan CS via WA udah gak ada respon.,2025-01-28 04:26:22
mahmed kamil,1,Langsung uninstall lagi aplikasi gak berguna,2025-01-27 16:02:07
prima mandala,1,Aplikasi gk guna dan gk mutu,2025-01-27 09:45:12
Pita,1,Kalo belum siap dgn sistem nya jangan langsung dijalankan,2025-01-27 08:36:06
Eka Putri lestari,1,Aplikasi ngebug daftar npwp susah banget lain kali satelit nya sambungin aja sama gmaps jgn di suruh nyari sendiri ribet banget masa nyari in rumah dari sebnyak itu. Di pikir gampang nyari in rumah dari satelit mana gabisa di zoom,2025-01-27 07:50:04
Jujun Suryana,1,"Ko sekarang beda aplikasinya ya???.... Woy gw udah bayar pajak aja masih repot di suruh laporan juga.... Mending kalo laporan nya gampang, malah tambah ribet!!!",2025-01-27 06:57:07
Jokker Boy,1,"Kenapa cuma verifikasi aja udah 2 hari lebih gk kelar dah gitu bikin hp eror kena virus ,,habis itu katanya bayar 10.000 ribu saja buat materai tapi kenyataannya saldo direkening saya malah kesedot semua mohon penjelasannya dan urusunnya gimana sampai terjadi kaya gini.kita masyarakat kecil bukannya dibantuin malah dirugikan",2025-01-27 06:04:17
Budi Lazard,1,"sistrm baru malah bikin kesulitan,giliran dateng ke kantor di suruh daftar online,mau berkontribusi ke negara malah di susah in,mending gausah bayar pajak ges",2025-01-27 03:40:12
gaplek slankooterist malang,1,Buat daftar aja susah,2025-01-26 14:08:03
Widya Novita,5,Sangat membantu,2025-01-26 12:29:00
Nuryaddin Noer,5,"Mantap, berfungsi dengan baik",2025-01-26 09:35:10
ATIKA PURNAMA,3,Saya ingin mendaptar mpwp kok sulit. Caranya,2025-01-26 08:45:54
Imanesky Esky,4,Ok,2025-01-26 03:07:12
MazFU,5,"Alhamdulillah,,,, proses permintaan efin sangat cepat, gk perlu waktu lama lgsg dikirim ke email. Mantap",2025-01-26 02:34:49
Miftahul Falah,3,"Sekelas Pemerintah, Sistemnya seburik ini 🗿🗿🗿",2025-01-25 23:44:47
evhi lestari,1,Aplikasi nggak jelas anj memang. mo daftar tapi ga ada tombol daftarnya hanya login. gimana caranya mau login kalau ga ada akunnya .,2025-01-25 21:22:37
Kemem Finance,1,"Aplikasi apa si ini nomor telpon engga jelas buat verifikasi OTP dan email-nya pun juga engga jelas, aneh banget buat aplikasi ke tukang kebun kayanya engga jelas gini Punya anggaran bukannya buat aplikasi untuk memudahkan malah mempersulit masyarakat bikin pusing",2025-01-25 03:52:19
Melyasari Befyana,1,"Tiap tahun mau lapor pajak pasti ada-ada sistemnya tidak efisien, dibuat ribet tiap tahun gonta-ganti sistem, tapi tetap saja mempersulit untuk lapor pajak!!! Gak usah gonta-ganti tampilan perbaiki dulu sistemnya biar mempermudah orang,, karena gak semua orang paham lapor pajak ginian!!!",2025-01-25 01:58:31
PATTUNGRASSAK CHANNEL,1,aplikasi jelek bikin susah pajak sudah di bayar susah login bikin susah rakyat saja,2025-01-24 10:50:58
wanggana ogay,1,"Heran. Ngga paham. Instansi pemerintah sebesar & sekelas ini, apalagi reminder : pajak2 pajak2, tp aplikasinya yah cuma begini. Giliran anak sy mau daftar NPWP sj susah. Disuruh daftar online. Coretax2. Tp situsnya lemot abis. Ribet pula. Mdh2an pegawai2nya ngga ikut lemot ya.",2025-01-24 09:43:37
Ridwan Maulana S,1,"Lupa efin di suruh lewat m pajak , udh di coba tpi pas mau ajuin pas bagian verifikasi email/sms nya ga bisa di klik coba ?? Kenapa itu ngebug atau gimana dah ? Udh di apus instal ulang sama aja ga bisa juga ngebug aplikasi nya . Ini kan aplikasi dari pemerintah nih kalo bisa di tingkatin lagi dong masa mau tau efin aja susah pake segala ngebug gitu aplikasi nya .",2025-01-24 09:02:38
Rina Halimah,3,Buat temen temen yang lupa efin mending langsung ke kantor pajaknya soalnya kalau lewat wa atau live cht lama dan susah malah kita di buat susah apa lagi nunggu kode ini itu,2025-01-24 05:50:19
Novi Anggara,2,Saya mau registrasi kenapa tidak bisa😔,2025-01-24 03:45:01
Notfound,1,"1 kata aj buat nih apk ""busuk"", anggaran banyak buat bikin apk pemerintah tp gini hasilnya. kalo bisa nih yg bikin apk dari pihak swasta aj biar gercep pelayanannya.",2025-01-24 03:30:13
Arora Idn,1,"apk sampah, gimana Indonesia mau maju kalo aplikasi pemerintahannya aja kaya gini, lamban parah, ga bisa bayar pajak.",2025-01-24 01:41:42
Pencat Pencet,1,Aplikasi Ra jelas,2025-01-23 16:33:38
Rizky Ardiansyah,1,Aplikasi ga guna!!,2025-01-23 13:22:57
binti swanti,1,Aplikasi gak guna banget,2025-01-23 10:36:06
Ryun Ji,1,Kode verifikasi ngirimnya lama bet kek keong,2025-01-23 09:07:58
Muhammad Ramli,1,Aplikasi ribet,2025-01-23 09:06:53
Tevin Hamudia,2,"Sampahhhhhh, masa kesalahan nya terus terusan di bagian kolom penulisan Kelurahan, Kecamatan dan Kota/Kabupaten nya mulu, udah di coba 20x cara penulisan dirubah masih aja muncul error code dengan keterangan kesalahan yang sama.",2025-01-23 09:03:48
ngapak nguber,1,Aplikasi apa ini login udah sesuai nik sma pasword masa keterangan salah terus...gblk,2025-01-23 04:54:56
Muhammd Rokhim,1,Aplikasi mbobrok Berserta instansinya Ribet,2025-01-23 04:27:02
Lio Permana,1,"Mau bayar pajak aja susah, coretax ribettttt.",2025-01-23 04:17:19
rizaldy kurniawan,1,Habis di update makah eror apk apa ini.,2025-01-23 02:29:20
Ziboel Genster,1,Ini gimana kok ga ada option lupa pasword?,2025-01-22 13:46:47
Nining Nuraeni,5,Memberi kemudahan dalam masalah layanan perpajakan. Nunggu balasan email utk nanya efin harus saat jam kerja... harus sabar emang,2025-01-22 13:23:30
Muhammad Misbachul Anam,1,"Buang2 anggaran aja, g guna",2025-01-22 11:40:46
Heri Munandar,1,"Di era digital seperti sekarang ini, pelayanan online malah tidak bisa diakses dgn alasan klasik under maintenance. Ya begitulah situs pemerintahan.",2025-01-22 07:40:39
budie teguh,1,"Bayaran gedi doang bikin aplikasi ama situs ecek2..kerjanya gak guna, udah mending kasih ke BCA aja yang lebih sat set dan kerjanya bener",2025-01-22 05:19:36
awan ams,1,Aplikasi tidak beres orang masuk kirim kirim kode verifikasi ke email orang masuk di bilang kode salah ? Di ulangi begitu lagi kalau salah napai mengirim kode salah ke email ?,2025-01-22 05:06:00
앙가라,5,좋아요,2025-01-22 04:43:57
Dede Aripin,1,"Aplikasi Sampah, Cuman mempersulit",2025-01-22 04:41:36
Aris 123,1,Lambat sekali sistem nya,2025-01-22 04:20:16
Ahmad Syarif,5,Bagus' 👍,2025-01-22 01:42:31
Maria Dame Christina S.,1,"Ini saya mau daftar kok gak bisa bisa ya ,gak ada fiturnya gak jelas, saya mau daftar malah minta nomor efin saya kan mau daftar bukan login gimana sih minta nomor efin malah kekantor terus ngapain buat online",2025-01-21 13:38:40
Fadli Kattang,4,Aneh... tampilan kartu npwp di web dan aplikasi beda. Diweb nmr krtu 15 dan 16 digit. Diaplikasi hanya 15 digit,2025-01-21 12:57:53
Darmawan Wawan,5,Mntap,2025-01-21 11:49:57
Syifaa Mutiara,2,Chat live tapi ga bisa ngetik,2025-01-21 11:19:47
Ruslan Shop,1,"Aplikasi sampah... Gak guna, aplikasi pemerintah rata rata seperti sampah hanya habisin dana tapi tidak berguna.",2025-01-21 10:34:28
Pane Jaya Perkasa,3,selalu kesulitan utk melakukan pembayaran pajak bulanan.,2025-01-21 10:08:23
saferi ahmad,1,Gaada fitur lupa password? Fix dulu app nya baru pakai uang pajaknya,2025-01-21 04:47:31
Robby Alvianto,1,dinas pajak bodokkkkk.....mau ngisi negara asal malah ga ada Indonesia,2025-01-21 04:10:06
SUPE'I AL-BANTANI,1,PAJAK VIA ONLINE SEMAKIN RIBET,2025-01-20 16:56:04
Heri Agung,1,"Aplikasi parah ni,.coba verifikasi EFIN aja gak bisa Nyesel saya download nya anying",2025-01-20 13:01:14
Andani Suryana,1,Apk parah ga bermutu,2025-01-20 12:06:43
