content,source,cleaned,t,sentiment_score,sentiment
"Data saya bocor!!! Tadi siang ada yg menghubungi saya melalui WA dan berkali-kali menelpon saya. Di chat tertera data-data pribadi saya seperti Nama, No.KTP, NPWP, Email dsb. Sudah cek di Apk lacak nomor telepon ternyata benar itu penipuan mengatasnamakan Direktorat Jenderal Pajak. Si penipu minta uang transferan dan minta kode verifikasi. Untungnya gk saya kasih. Tapi Hp saya justru jadi hang dan apk pajak selalu kebuka dgn sendirinya. Karena takut jadi saya uninstall dan kembali install apk.",playstore,data saya bocor tadi siang ada yg menghubungi saya melalui wa dan berkalikali menelpon saya di chat tertera datadata pribadi saya seperti nama noktp npwp email dsb sudah cek di apk lacak nomor telepon ternyata benar itu penipuan mengatasnamakan direktorat jenderal pajak si penipu minta uang transferan dan minta kode verifikasi untungnya gk saya kasih tapi hp saya justru jadi hang dan apk pajak selalu kebuka dgn sendirinya karena takut jadi saya uninstall dan kembali install apk,"['data', 'saya', 'bocor', 'tadi', 'siang', 'ada', 'yang', 'menghubungi', 'saya', 'melalui', 'wa', 'dan', 'berkalikali', 'menelpon', 'saya', 'di', 'chat', 'tertera', 'datadata', 'pribadi', 'saya', 'seperti', 'nama', 'noktp', 'npwp', 'email', 'dsb', 'sudah', 'cek', 'di', 'apk', 'lacak', 'nomor', 'telepon', 'ternyata', 'benar', 'itu', 'penipuan', 'mengatasnamakan', 'direktorat', 'jenderal', 'pajak', 'sih', 'penipu', 'meminta', 'uang', 'transferan', 'dan', 'meminta', 'kode', 'verifikasi', 'untungnya', 'tidak', 'saya', 'kasih', 'tapi', 'hp', 'saya', 'justru', 'jadi', 'hang', 'dan', 'apk', 'pajak', 'selalu', 'kebuka', 'dengan', 'sendirinya', 'karena', 'takut', 'jadi', 'saya', 'uninstall', 'dan', 'kembali', 'install', 'apk']",-170,negative
"Lemot, sering force close tetiba dah gitu serring ngefreeze",playstore,lemot sering force close tetiba dah gitu serring ngefreeze,"['lemot', 'sering', 'force', 'close', 'tetiba', 'sudah', 'begitu', 'serring', 'ngefreeze']",-16,negative
"Tolong aplikasinya di benerin, saya login via website bisa tapi di aplikasi tidak bisa. Saya belum dapat efin dan ingin mengurus via online",playstore,tolong aplikasinya di benerin saya login via website bisa tapi di aplikasi tidak bisa saya belum dapat efin dan ingin mengurus via online,"['tolong', 'aplikasinya', 'di', 'benerin', 'saya', 'login', 'via', 'website', 'bisa', 'tapi', 'di', 'aplikasi', 'tidak', 'bisa', 'saya', 'belum', 'dapat', 'efin', 'dan', 'ingin', 'mengurus', 'via', 'online']",-91,negative
Apk ga guna,playstore,apk ga guna,"['apk', 'tidak', 'guna']",-27,negative
Aplikasi apaan ini bukannya membantu Mala mempersulit kita Kode otp ini kapan di kasih Padahal sdh di request ulang,playstore,aplikasi apaan ini bukannya membantu mala mempersulit kita kode otp ini kapan di kasih padahal sdh di request ulang,"['aplikasi', 'apaan', 'ini', 'bukannya', 'membantu', 'mala', 'mempersulit', 'kita', 'kode', 'otp', 'ini', 'kapan', 'di', 'kasih', 'padahal', 'sudah', 'di', 'request', 'ulang']",-83,negative
Mohon di benarin lgi aplikasinya,playstore,mohon di benarin lgi aplikasinya,"['mohon', 'di', 'membenarkan', 'lagi', 'aplikasinya']",-20,negative
"Aplikasi kalo yg ngelola pemerintah gk bisa d pakai, gk becus, giliran uang baru mereka sat set,",playstore,aplikasi kalo yg ngelola pemerintah gk bisa d pakai gk becus giliran uang baru mereka sat set,"['aplikasi', 'kalau', 'yang', 'ngelola', 'pemerintah', 'tidak', 'bisa', 'di', 'pakai', 'tidak', 'becus', 'giliran', 'uang', 'baru', 'mereka', 'sat', 'set']",-52,negative
"Banyak BUG , Beberapa Menu Tidak Bisa Di Klik",playstore,banyak bug  beberapa menu tidak bisa di klik,"['banyak', 'bug', 'beberapa', 'menu', 'tidak', 'bisa', 'di', 'klik']",-45,negative
sampah banget lambat mau download bukti potongan lama sampah brooo bayar pajak mahal mahal buat apk sama website kek sampah,playstore,sampah banget lambat mau download bukti potongan lama sampah brooo bayar pajak mahal mahal buat apk sama website kek sampah,"['sampah', 'banget', 'lambat', 'mau', 'download', 'bukti', 'potongan', 'lama', 'sampah', 'brooo', 'bayar', 'pajak', 'mahal', 'mahal', 'buat', 'apk', 'sama', 'website', 'kayak', 'sampah']",-85,negative
"Kak agak susah dftarnya,pdhal sdh dtulis smua syaratnya",playstore,kak agak susah dftarnyapdhal sdh dtulis smua syaratnya,"['kak', 'agak', 'susah', 'dftarnyapdhal', 'sudah', 'dtulis', 'semua', 'syaratnya']",-21,negative
"tolong sistemnya di benahi buat daftar sudah sampai nomer 10 gk bisa di pencet, niat gk sih buat aplikasi?",playstore,tolong sistemnya di benahi buat daftar sudah sampai nomer  gk bisa di pencet niat gk sih buat aplikasi,"['tolong', 'sistemnya', 'di', 'benahi', 'buat', 'daftar', 'sudah', 'sampai', 'nomer', '10', 'tidak', 'bisa', 'di', 'pencet', 'niat', 'tidak', 'sih', 'buat', 'aplikasi']",-72,negative
"Gak bisa login,erorr",playstore,gak bisa loginerorr,"['tidak', 'bisa', 'loginerorr']",-18,negative
error mulu,playstore,error mulu,"['error', 'mulu']",-18,negative
"Ini gimana mau bayar pajak kok malah gak bisa, nanti gak bayar pajak dikejar2 orang pajak dan kena denda. Sudah bayar aja masih dipermasalahkan, apalagi gak bayar. Konyol emang king indo ini.",playstore,ini gimana mau bayar pajak kok malah gak bisa nanti gak bayar pajak dikejar orang pajak dan kena denda sudah bayar aja masih dipermasalahkan apalagi gak bayar konyol emang king indo ini,"['ini', 'bagaimana', 'mau', 'bayar', 'pajak', 'kok', 'malah', 'tidak', 'bisa', 'nanti', 'tidak', 'bayar', 'pajak', 'dikejar2', 'orang', 'pajak', 'dan', 'kena', 'denda', 'sudah', 'bayar', 'saja', 'masih', 'dipermasalahkan', 'apalagi', 'tidak', 'bayar', 'konyol', 'memang', 'king', 'indonesia', 'ini']",-149,negative
gimana sih web nya aneh banget pajak doang gede bikin web kaya gitu aja gabisa,playstore,gimana sih web nya aneh banget pajak doang gede bikin web kaya gitu aja gabisa,"['bagaimana', 'sih', 'web', 'ya', 'aneh', 'banget', 'pajak', 'doang', 'gede', 'bikin', 'web', 'kayak', 'begitu', 'saja', 'tidak bisa']",-58,negative
Developer nya gak kerja apa gmn sih bikin aplikasi kok gini,playstore,developer nya gak kerja apa gmn sih bikin aplikasi kok gini,"['developer', 'ya', 'tidak', 'kerja', 'apa', 'bagaimana', 'sih', 'bikin', 'aplikasi', 'kok', 'begini']",-55,negative
Pajak ok,playstore,pajak ok,"['pajak', 'ok']",-5,negative
Kebayakan korupsi kali sampe aplikasi nya aj kaya sampah kaga aktif lemot dan sebagainaya,playstore,kebayakan korupsi kali sampe aplikasi nya aj kaya sampah kaga aktif lemot dan sebagainaya,"['kebayakan', 'korupsi', 'kali', 'sampai', 'aplikasi', 'ya', 'saja', 'kayak', 'sampah', 'kagak', 'aktif', 'lemot', 'dan', 'sebagainaya']",-52,negative
"Bapuk, mau bayar pajak lebih efisien aja susah. Kayak rakyat yg butuh banget ama ni negara. Males dah",playstore,bapuk mau bayar pajak lebih efisien aja susah kayak rakyat yg butuh banget ama ni negara males dah,"['bapuk', 'mau', 'bayar', 'pajak', 'lebih', 'efisien', 'saja', 'susah', 'kayak', 'rakyat', 'yang', 'butuh', 'banget', 'sama', 'nih', 'negara', 'malas', 'sudah']",-73,negative
Aplikasi nya keluar terus,playstore,aplikasi nya keluar terus,"['aplikasi', 'ya', 'keluar', 'terus']",-30,negative
"Aplikasi tolol, ga di website dan di aplikasi ga ada bedanya buat konfirmasi OTP ga ke kirim kirim, nomor udh di cross check berkali kali, udh nunggu berjam jam tetep ga bisa",playstore,aplikasi tolol ga di website dan di aplikasi ga ada bedanya buat konfirmasi otp ga ke kirim kirim nomor udh di cross check berkali kali udh nunggu berjam jam tetep ga bisa,"['aplikasi', 'tolol', 'tidak', 'di', 'website', 'dan', 'di', 'aplikasi', 'tidak', 'ada', 'bedanya', 'buat', 'konfirmasi', 'otp', 'tidak', 'ke', 'kirim', 'kirim', 'nomor', 'sudah', 'di', 'cross', 'check', 'berkali', 'kali', 'sudah', 'menunggu', 'berjam', 'jam', 'tetap', 'tidak', 'bisa']",-107,negative
"Setiap mau verifikasi wajah selalu gagal, trs suruh foto pas muka dilingkaran, dah pas tapi gagal aja,pdhl data dah sesuai. Tolong perbaiki lagi",playstore,setiap mau verifikasi wajah selalu gagal trs suruh foto pas muka dilingkaran dah pas tapi gagal ajapdhl data dah sesuai tolong perbaiki lagi,"['setiap', 'mau', 'verifikasi', 'wajah', 'selalu', 'gagal', 'terus', 'suruh', 'foto', 'pas', 'muka', 'dilingkaran', 'sudah', 'pas', 'tapi', 'gagal', 'ajapdhl', 'data', 'sudah', 'sesuai', 'tolong', 'perbaiki', 'lagi']",-62,negative
Mau Daftar Bikin NPWP Pas Mlm Nga Bisa Ini Gimana hadeee Cape Dhe,playstore,mau daftar bikin npwp pas mlm nga bisa ini gimana hadeee cape dhe,"['mau', 'daftar', 'bikin', 'npwp', 'pas', 'malam', 'tidak', 'bisa', 'ini', 'bagaimana', 'hadeee', 'capek', 'deh']",-51,negative
Mau daftar tapi tidak bisa,playstore,mau daftar tapi tidak bisa,"['mau', 'daftar', 'tapi', 'tidak', 'bisa']",-31,negative
"Apk sampah,",playstore,apk sampah,"['apk', 'sampah']",-18,negative
Gak jelas,playstore,gak jelas,"['tidak', 'jelas']",-12,negative
payah udah 3 hari minta otp gaada masuk terus ke pesan,playstore,payah udah  hari minta otp gaada masuk terus ke pesan,"['payah', 'sudah', '3', 'hari', 'meminta', 'otp', 'tidak ada', 'masuk', 'terus', 'ke', 'pesan']",-32,negative
"Ini gimna mau login daftar penguna baru ajah ngk bisa, Di klick mental ke goegle ngk bisa di akses. Coba dong gimna caranya login mase",playstore,ini gimna mau login daftar penguna baru ajah ngk bisa di klick mental ke goegle ngk bisa di akses coba dong gimna caranya login mase,"['ini', 'bagaimana', 'mau', 'login', 'daftar', 'penguna', 'baru', 'saja', 'tidak', 'bisa', 'di', 'klick', 'mental', 'ke', 'goegle', 'tidak', 'bisa', 'di', 'akses', 'coba', 'dong', 'bagaimana', 'caranya', 'login', 'mase']",-69,negative
"udah ngisi data sesuai, swafoto udah, eror mulu kocak",playstore,udah ngisi data sesuai swafoto udah eror mulu kocak,"['sudah', 'ngisi', 'data', 'sesuai', 'swafoto', 'sudah', 'eror', 'mulu', 'kocak']",-38,negative
"Webnya eror, gak bisa ngisi kode wilayah",playstore,webnya eror gak bisa ngisi kode wilayah,"['webnya', 'eror', 'tidak', 'bisa', 'ngisi', 'kode', 'wilayah']",-30,negative
kenapa gk bisa untuk daptar mohon bantuan nya sbenar nya apn ini bisa di guna kn atau tidak buat daprtar aja sulit kalau gk bisa buat daptar npwp jgn di ada k apn ini seharus nya di permudah buat daptar nya ini malah di persulig,playstore,kenapa gk bisa untuk daptar mohon bantuan nya sbenar nya apn ini bisa di guna kn atau tidak buat daprtar aja sulit kalau gk bisa buat daptar npwp jgn di ada k apn ini seharus nya di permudah buat daptar nya ini malah di persulig,"['kenapa', 'tidak', 'bisa', 'untuk', 'daptar', 'mohon', 'bantuan', 'ya', 'sbenar', 'ya', 'apn', 'ini', 'bisa', 'di', 'guna', 'kan', 'atau', 'tidak', 'buat', 'daprtar', 'saja', 'sulit', 'kalau', 'tidak', 'bisa', 'buat', 'daptar', 'npwp', 'jangan', 'di', 'ada', 'ke', 'apn', 'ini', 'seharus', 'ya', 'di', 'permudah', 'buat', 'daptar', 'ya', 'ini', 'malah', 'di', 'persulig']",-216,negative
"Aplikasi apaan kayak gini..sudah buat akun npwp tapi mau login tidak bisa. Aplikasi sampah..sudah susah payah daftar npwp, sekali mau login di Apk ini malah tidak bisa.",playstore,aplikasi apaan kayak ginisudah buat akun npwp tapi mau login tidak bisa aplikasi sampahsudah susah payah daftar npwp sekali mau login di apk ini malah tidak bisa,"['aplikasi', 'apaan', 'kayak', 'ginisudah', 'buat', 'akun', 'npwp', 'tapi', 'mau', 'login', 'tidak', 'bisa', 'aplikasi', 'sampahsudah', 'susah', 'payah', 'daftar', 'npwp', 'sekali', 'mau', 'login', 'di', 'apk', 'ini', 'malah', 'tidak', 'bisa']",-147,negative
Aplikasi Sampah bukan membantu rakyat malah bikin musingken rakyat.ga jelas Kominfo,playstore,aplikasi sampah bukan membantu rakyat malah bikin musingken rakyatga jelas kominfo,"['aplikasi', 'sampah', 'bukan', 'membantu', 'rakyat', 'malah', 'bikin', 'musingken', 'rakyatga', 'jelas', 'kominfo']",-46,negative
"Data pajak bisa bocor?? seminggu ini banyak yang telpon dari pajak, mereka bisa ngasih data pajak lengkap, dari nama PT NIK sampe NPWP nya, sampai saya di suruh instal aplikasi hipajak..tolong dong di jaga data nya, jgn sampai dipake buat penipuan sama pihak tertentu.",playstore,data pajak bisa bocor seminggu ini banyak yang telpon dari pajak mereka bisa ngasih data pajak lengkap dari nama pt nik sampe npwp nya sampai saya di suruh instal aplikasi hipajaktolong dong di jaga data nya jgn sampai dipake buat penipuan sama pihak tertentu,"['data', 'pajak', 'bisa', 'bocor', 'seminggu', 'ini', 'banyak', 'yang', 'telpon', 'dari', 'pajak', 'mereka', 'bisa', 'mengasih', 'data', 'pajak', 'lengkap', 'dari', 'nama', 'pt', 'nik', 'sampai', 'npwp', 'ya', 'sampai', 'saya', 'di', 'suruh', 'instal', 'aplikasi', 'hipajaktolong', 'dong', 'di', 'jaga', 'data', 'ya', 'jangan', 'sampai', 'dipakai', 'buat', 'penipuan', 'sama', 'pihak', 'tertentu']",-187,negative
"Ini aplikasi kok muter"" Terus mau login Gimana sih",playstore,ini aplikasi kok muter terus mau login gimana sih,"['ini', 'aplikasi', 'kok', 'muter', 'terus', 'mau', 'login', 'bagaimana', 'sih']",-37,negative
Aplikasi nya bloon tidak berguna login link Google bisa pke apk nya gak bisa lol apk pemerintah mmng sesat,playstore,aplikasi nya bloon tidak berguna login link google bisa pke apk nya gak bisa lol apk pemerintah mmng sesat,"['aplikasi', 'ya', 'bloon', 'tidak', 'berguna', 'login', 'link', 'google', 'bisa', 'pakai', 'apk', 'ya', 'tidak', 'bisa', 'lol', 'apk', 'pemerintah', 'mmng', 'sesat']",-83,negative
"Apk asal ada... Nggk guna, login nggk bisa.",playstore,apk asal ada nggk guna login nggk bisa,"['apk', 'asal', 'ada', 'tidak', 'guna', 'login', 'tidak', 'bisa']",-48,negative
Aplikasi kocak Mau daftar malah web nya gak bisa di akses.,playstore,aplikasi kocak mau daftar malah web nya gak bisa di akses,"['aplikasi', 'kocak', 'mau', 'daftar', 'malah', 'web', 'ya', 'tidak', 'bisa', 'di', 'akses']",-58,negative
Ga guna. Buang buang anggaran saja. #indonesia,playstore,ga guna buang buang anggaran saja indonesia,"['tidak', 'guna', 'buang', 'buang', 'anggaran', 'saja', 'indonesia']",-27,negative
Web nya error aplikasinya error respon nya lama,playstore,web nya error aplikasinya error respon nya lama,"['web', 'ya', 'error', 'aplikasinya', 'error', 'respon', 'ya', 'lama']",-47,negative
Aplikasi g jelas kode otp g ke kirim² udh bener semua malah engga bisa gajelas co web nya juga engga jelas,playstore,aplikasi g jelas kode otp g ke kirim udh bener semua malah engga bisa gajelas co web nya juga engga jelas,"['aplikasi', 'tidak', 'jelas', 'kode', 'otp', 'tidak', 'ke', 'kirim', 'sudah', 'benar', 'semua', 'malah', 'tidak', 'bisa', 'tidak jelas', 'cowok', 'web', 'ya', 'juga', 'tidak', 'jelas']",-100,negative
Kode OTP nya mana njirr,playstore,kode otp nya mana njirr,"['kode', 'otp', 'ya', 'mana', 'anjir']",-15,negative
ribet anjr,playstore,ribet anjr,"['ribet', 'anjr']",-9,negative
Bintang 0 bisa gak sih 😁,playstore,bintang  bisa gak sih,"['bintang', '0', 'bisa', 'tidak', 'sih']",-18,negative
TDK bisa meminta epin selalu gagal klw TDK ada guna nya knpa harus ada aplikasi seharus nya klw ada aplikasi mempermudah masyarakat untuk menggunakan nya,playstore,tdk bisa meminta epin selalu gagal klw tdk ada guna nya knpa harus ada aplikasi seharus nya klw ada aplikasi mempermudah masyarakat untuk menggunakan nya,"['tidak', 'bisa', 'meminta', 'epin', 'selalu', 'gagal', 'kalau', 'tidak', 'ada', 'guna', 'ya', 'kenapa', 'harus', 'ada', 'aplikasi', 'seharus', 'ya', 'kalau', 'ada', 'aplikasi', 'mempermudah', 'masyarakat', 'untuk', 'menggunakan', 'ya']",-117,negative
"bagus banget appl nya sampe"" aq ga percaya bahwa applikasi ini ada terimakasih",playstore,bagus banget appl nya sampe aq ga percaya bahwa applikasi ini ada terimakasih,"['bagus', 'banget', 'appl', 'ya', 'sampai', 'aku', 'tidak', 'percaya', 'bahwa', 'aplikasi', 'ini', 'ada', 'terimakasih']",-50,negative
Aplikasi punya pemerintah? Jangan harap masyarakat mudah menggunakanya,playstore,aplikasi punya pemerintah jangan harap masyarakat mudah menggunakanya,"['aplikasi', 'punya', 'pemerintah', 'jangan', 'harap', 'masyarakat', 'mudah', 'menggunakanya']",-13,negative
Gimana sih mau daftar aja sulit kali. Setipa login gagal terus,playstore,gimana sih mau daftar aja sulit kali setipa login gagal terus,"['bagaimana', 'sih', 'mau', 'daftar', 'saja', 'sulit', 'kali', 'setipa', 'login', 'gagal', 'terus']",-34,negative
Dana pemerintah dipake apa sih. Mau ajukan lupa efin aja sulit nya minta ampun,playstore,dana pemerintah dipake apa sih mau ajukan lupa efin aja sulit nya minta ampun,"['dana', 'pemerintah', 'dipakai', 'apa', 'sih', 'mau', 'ajukan', 'lupa', 'efin', 'saja', 'sulit', 'ya', 'meminta', 'ampun']",-32,negative
"Yang bener aja! Apk sama web kaga jelas gimana bisa cara laporan, mana kena denda kalau kaga laporan ngotak aja lah malah mempersulit rakyat. ""SPT Tahunan telah diatur dalam Undang-Undang No.28 Tahun 2007 tentang Ketentuan Umum dan Tata Cara Perpajakan. Mengacu undang-undang tersebut, pemerintah mengharuskan seluruh wajib pajak agar melaporkan SPT sesuai dengan ketentuan yang berlaku."" Nih lagi ""Apabila Wajib Pajak tidak menyampaikan Surat Pemberitahuan sampai batas waktu, dapat dikenakan sanksi",playstore,yang bener aja apk sama web kaga jelas gimana bisa cara laporan mana kena denda kalau kaga laporan ngotak aja lah malah mempersulit rakyat spt tahunan telah diatur dalam undangundang no tahun  tentang ketentuan umum dan tata cara perpajakan mengacu undangundang tersebut pemerintah mengharuskan seluruh wajib pajak agar melaporkan spt sesuai dengan ketentuan yang berlaku nih lagi apabila wajib pajak tidak menyampaikan surat pemberitahuan sampai batas waktu dapat dikenakan sanksi,"['yang', 'benar', 'saja', 'apk', 'sama', 'web', 'kagak', 'jelas', 'bagaimana', 'bisa', 'cara', 'laporan', 'mana', 'kena', 'denda', 'kalau', 'kagak', 'laporan', 'ngotak', 'saja', 'lah', 'malah', 'mempersulit', 'rakyat', 'seperti', 'tahunan', 'telah', 'diatur', 'dalam', 'undangundang', 'no28', 'tahun', '2007', 'tentang', 'ketentuan', 'umum', 'dan', 'tata', 'cara', 'perpajakan', 'mengacu', 'undangundang', 'tersebut', 'pemerintah', 'mengharuskan', 'seluruh', 'wajib', 'pajak', 'agar', 'melaporkan', 'seperti', 'sesuai', 'dengan', 'ketentuan', 'yang', 'berlaku', 'nih', 'lagi', 'apabila', 'wajib', 'pajak', 'tidak', 'menyampaikan', 'surat', 'pemberitahuan', 'sampai', 'batas', 'waktu', 'dapat', 'dikenakan', 'sanksi']",-135,negative
Web eror,playstore,web eror,"['web', 'eror']",-9,negative
"APLIKASI BUSUK, GA NIAT BIKIN, LOGIN SUSAH, DAFTAR EFIN SUSAH, DIALIHKAN KE WEB SUSAH, SEMUA SUSAH. . . PAYAH. . NOLLLL BESAR GA GUNA",playstore,aplikasi busuk ga niat bikin login susah daftar efin susah dialihkan ke web susah semua susah   payah  nollll besar ga guna,"['aplikasi', 'busuk', 'tidak', 'niat', 'bikin', 'login', 'susah', 'daftar', 'efin', 'susah', 'dialihkan', 'ke', 'web', 'susah', 'semua', 'susah', 'payah', 'nollll', 'besar', 'tidak', 'guna']",-107,negative
"Astaghfirullah baru kli ini gue sebel bgt ama aplikasi, sekelas py negara aplikasi sampah bgìni daftar ribet gajelas bgt.. kerja apaan sih pada udh dbayar gede2 tp aplikasi aja bikin asal²an bgini",playstore,astaghfirullah baru kli ini gue sebel bgt ama aplikasi sekelas py negara aplikasi sampah bgni daftar ribet gajelas bgt kerja apaan sih pada udh dbayar gede tp aplikasi aja bikin asalan bgini,"['astaghfirullah', 'baru', 'kali', 'ini', 'gue', 'sebel', 'banget', 'sama', 'aplikasi', 'sekelas', 'punya', 'negara', 'aplikasi', 'sampah', 'begini', 'daftar', 'ribet', 'tidak jelas', 'banget', 'kerja', 'apaan', 'sih', 'pada', 'sudah', 'dbayar', 'gede2', 'tapi', 'aplikasi', 'saja', 'bikin', 'asalan', 'begini']",-151,negative
"Aplikasi gak brguna, mau login aja susah.",playstore,aplikasi gak brguna mau login aja susah,"['aplikasi', 'tidak', 'brguna', 'mau', 'login', 'saja', 'susah']",-31,negative
Gak membantu sama sekali,playstore,gak membantu sama sekali,"['tidak', 'membantu', 'sama', 'sekali']",-23,negative
Tidak bisa di pakai. Banyak minus nya. Tidak bisa mempermudah . Bahkan masukan alamat email saja susah,playstore,tidak bisa di pakai banyak minus nya tidak bisa mempermudah  bahkan masukan alamat email saja susah,"['tidak', 'bisa', 'di', 'pakai', 'banyak', 'minus', 'ya', 'tidak', 'bisa', 'mempermudah', 'bahkan', 'masukan', 'alamat', 'email', 'saja', 'susah']",-72,negative
Sekalas general pajak ini ja apk gak berpungsi. Parah,playstore,sekalas general pajak ini ja apk gak berpungsi parah,"['sekalas', 'general', 'pajak', 'ini', 'saja', 'apk', 'tidak', 'berpungsi', 'parah']",-44,negative
"Login susah,, mau aktivkan npwp ribet",playstore,login susah mau aktivkan npwp ribet,"['login', 'susah', 'mau', 'aktivkan', 'npwp', 'ribet']",-28,negative
"Situs punya negara ga bisa di akses kalian ngapain aja kerja nya, kalau ga bisa resign ya jangan jadi beban negara",playstore,situs punya negara ga bisa di akses kalian ngapain aja kerja nya kalau ga bisa resign ya jangan jadi beban negara,"['situs', 'punya', 'negara', 'tidak', 'bisa', 'di', 'akses', 'kalian', 'mengapai', 'saja', 'kerja', 'ya', 'kalau', 'tidak', 'bisa', 'resign', 'ya', 'jangan', 'jadi', 'beban', 'negara']",-70,negative
"Aplikasi rusak,ga bisa di gunakan,mau login aja error mulu",playstore,aplikasi rusakga bisa di gunakanmau login aja error mulu,"['aplikasi', 'rusakga', 'bisa', 'di', 'gunakanmau', 'login', 'saja', 'error', 'mulu']",-48,negative
sistem sangat buruk,playstore,sistem sangat buruk,"['sistem', 'sangat', 'buruk']",-14,negative
"Aplikasi ga jelas,di minta efin gagal terus",playstore,aplikasi ga jelasdi minta efin gagal terus,"['aplikasi', 'tidak', 'jelasdi', 'meminta', 'efin', 'gagal', 'terus']",-35,negative
Bukannya bantu malah nyusahin,playstore,bukannya bantu malah nyusahin,"['bukannya', 'bantu', 'malah', 'menyusahkan']",-25,negative
baru download mau register gk bs aplikasi sampah,playstore,baru download mau register gk bs aplikasi sampah,"['baru', 'download', 'mau', 'register', 'tidak', 'bisa', 'aplikasi', 'sampah']",-37,negative
susah bet mau ngapa²in ga bisa ribet,playstore,susah bet mau ngapain ga bisa ribet,"['susah', 'banget', 'mau', 'mengapai', 'tidak', 'bisa', 'ribet']",-46,negative
"Gak guna, gak bisa dipake sama sekali",playstore,gak guna gak bisa dipake sama sekali,"['tidak', 'guna', 'tidak', 'bisa', 'dipakai', 'sama', 'sekali']",-46,negative
Gak berfungsi,playstore,gak berfungsi,"['tidak', 'berfungsi']",-9,negative
"Mau heran ya INI INDONESIA. Negara DENGAN WAJIB KORUPSI. Padahal pendapatan Pajak per/Agustus 2024 itu 1,*** Triliun. Anggaran pembuatan aplikasi penyelenggara negara itu cukup besar, tp kenapa hampir rata rata fasilitas ini semua eror.... Anggarannya kemanaa??? Bikin apk ribuan, data masih ke HACK... Gblok",playstore,mau heran ya ini indonesia negara dengan wajib korupsi padahal pendapatan pajak peragustus  itu  triliun anggaran pembuatan aplikasi penyelenggara negara itu cukup besar tp kenapa hampir rata rata fasilitas ini semua eror anggarannya kemanaa bikin apk ribuan data masih ke hack gblok,"['mau', 'heran', 'ya', 'ini', 'indonesia', 'negara', 'dengan', 'wajib', 'korupsi', 'padahal', 'pendapatan', 'pajak', 'peragustus', '2024', 'itu', '1', 'triliun', 'anggaran', 'pembuatan', 'aplikasi', 'penyelenggara', 'negara', 'itu', 'cukup', 'besar', 'tapi', 'kenapa', 'hampir', 'rata', 'rata', 'fasilitas', 'ini', 'semua', 'eror', 'anggarannya', 'kemanaa', 'bikin', 'apk', 'ribuan', 'data', 'masih', 'ke', 'hack', 'gblok']",-163,negative
"Mau lihat nomor EFIN karena lupa , udah di suruh foto muka malah gagal terus , aplikasi eror apa gimana ya tolong perbaikannya . HARUS BANYAK DI BENAHI DI PERBAIKI",playstore,mau lihat nomor efin karena lupa  udah di suruh foto muka malah gagal terus  aplikasi eror apa gimana ya tolong perbaikannya  harus banyak di benahi di perbaiki,"['mau', 'lihat', 'nomor', 'efin', 'karena', 'lupa', 'sudah', 'di', 'suruh', 'foto', 'muka', 'malah', 'gagal', 'terus', 'aplikasi', 'eror', 'apa', 'bagaimana', 'ya', 'tolong', 'perbaikannya', 'harus', 'banyak', 'di', 'benahi', 'di', 'perbaiki']",-127,negative
"aplikasi bermasalah, lebih baik hapus saja aplikasinya",playstore,aplikasi bermasalah lebih baik hapus saja aplikasinya,"['aplikasi', 'bermasalah', 'lebih', 'baik', 'hapus', 'saja', 'aplikasinya']",-33,negative
"Saya berusaha bayar pajak, buatlah aplikasi yg mudah, hal paling simple ; login aja susah, nanti giliran saya gak bayar pajak salah juga. Gak semua orang banyak waktu utk datang dan antre ke kantor pajak",playstore,saya berusaha bayar pajak buatlah aplikasi yg mudah hal paling simple  login aja susah nanti giliran saya gak bayar pajak salah juga gak semua orang banyak waktu utk datang dan antre ke kantor pajak,"['saya', 'berusaha', 'bayar', 'pajak', 'buatlah', 'aplikasi', 'yang', 'mudah', 'hal', 'paling', 'simple', 'login', 'saja', 'susah', 'nanti', 'giliran', 'saya', 'tidak', 'bayar', 'pajak', 'salah', 'juga', 'tidak', 'semua', 'orang', 'banyak', 'waktu', 'untuk', 'datang', 'dan', 'antre', 'ke', 'kantor', 'pajak']",-103,negative
Lemot banget ngirim kode OTP nya ajg,playstore,lemot banget ngirim kode otp nya ajg,"['lemot', 'banget', 'mengirim', 'kode', 'otp', 'ya', 'ajg']",-26,negative
"Daftar pajak email aktivasi sudah, ehh pas nerima kode otp no hp ngga muncul udah 4jam nungguin trus dan ulang ulang di coba tetap sama tidak ada otp hadeh memperuslit aja",playstore,daftar pajak email aktivasi sudah ehh pas nerima kode otp no hp ngga muncul udah jam nungguin trus dan ulang ulang di coba tetap sama tidak ada otp hadeh memperuslit aja,"['daftar', 'pajak', 'email', 'aktivasi', 'sudah', 'eh', 'pas', 'menerima', 'kode', 'otp', 'no', 'hp', 'tidak', 'muncul', 'sudah', '4jam', 'menunggu', 'terus', 'dan', 'ulang', 'ulang', 'di', 'coba', 'tetap', 'sama', 'tidak', 'ada', 'otp', 'hadeh', 'memperuslit', 'saja']",-75,negative
